,DateTime,Open,High,Low,Close,IO
,2023-09-25 13:15:00+05:30,45483.1,45549.0,45230.0,45230.85,7980,145425
,2023-09-25 14:15:00+05:30,45230.0,45475.0,45210.0,45396.45,6600,145320
,2023-09-25 15:15:00+05:30,45396.45,45425.0,45383.05,45395.0,1155,145305
,2023-09-26 09:15:00+05:30,45300.05,45385.15,45251.6,45340.15,7635,147180
,2023-09-26 10:15:00+05:30,45340.15,45360.0,45240.0,45311.7,4455,148335
,2023-09-26 11:15:00+05:30,45311.7,45340.0,45262.05,45278.05,1425,148725
,2023-09-26 12:15:00+05:30,45278.05,45301.8,45146.85,45250.0,7245,150000
,2023-09-26 13:15:00+05:30,45256.0,45302.3,45245.6,45254.0,2760,150360
,2023-09-26 14:15:00+05:30,45254.0,45282.0,45193.75,45255.0,4650,151710
,2023-09-26 15:15:00+05:30,45255.0,45296.0,45250.2,45280.0,1455,151650
,2023-09-27 09:15:00+05:30,45111.05,45140.0,44837.85,44841.45,28035,155820
,2023-09-27 10:15:00+05:30,44841.45,45060.0,44817.0,45060.0,13050,156705
,2023-09-27 11:15:00+05:30,45060.0,45125.45,44967.1,45002.05,7740,157035
,2023-09-27 12:15:00+05:30,45002.05,45135.0,45002.05,45124.0,2910,157110
,2023-09-27 13:15:00+05:30,45124.0,45313.0,45079.55,45230.0,11205,155745
,2023-09-27 14:15:00+05:30,45230.0,45284.0,45155.0,45224.6,6990,157635
,2023-09-27 15:15:00+05:30,45224.6,45250.0,45210.05,45249.25,1665,157800
,2023-09-28 09:15:00+05:30,44834.25,45300.0,44834.25,45243.0,11025,160665
,2023-09-28 10:15:00+05:30,45243.0,45285.0,45038.85,45054.0,11820,165705
,2023-09-28 11:15:00+05:30,45054.0,45140.0,45016.0,45080.0,7515,167175
,2023-09-28 12:15:00+05:30,45080.0,45104.65,45021.25,45057.15,4590,167640
,2023-09-28 13:15:00+05:30,45057.15,45062.65,44936.0,44972.3,21870,172920
,2023-09-28 14:15:00+05:30,44972.3,45030.0,44900.0,44905.0,18930,179355
,2023-09-28 15:15:00+05:30,44905.0,44941.4,44905.0,44915.0,6315,180495
,2023-09-29 09:15:00+05:30,45013.9,45188.45,44926.4,45132.7,19380,182310
,2023-09-29 10:15:00+05:30,45132.7,45217.0,45075.0,45164.2,9030,183135
,2023-09-29 11:15:00+05:30,45164.2,45245.0,45132.75,45205.0,8535,184125
,2023-09-29 12:15:00+05:30,45205.0,45215.0,45139.65,45170.0,6120,184500
,2023-09-29 13:15:00+05:30,45170.0,45265.0,45140.0,45235.0,9165,182430
,2023-09-29 14:15:00+05:30,45235.0,45284.2,45130.0,45132.9,12015,181245
,2023-09-29 15:15:00+05:30,45132.9,45180.0,45125.0,45170.0,4485,181770
,2023-10-03 09:15:00+05:30,45100.0,45100.0,44825.0,44868.3,20340,184770
,2023-10-03 10:15:00+05:30,44868.3,44909.85,44817.0,44870.0,6330,186540
,2023-10-03 11:15:00+05:30,44870.0,44933.9,44850.0,44899.05,6825,186855
,2023-10-03 12:15:00+05:30,44899.05,44950.0,44888.0,44935.0,3105,186855
,2023-10-03 13:15:00+05:30,44935.0,44980.7,44850.0,44904.0,8835,188205
,2023-10-03 14:15:00+05:30,44904.0,44935.0,44896.45,44911.8,4500,187710
,2023-10-03 15:15:00+05:30,44911.8,44921.15,44890.0,44890.0,3450,187665
,2023-10-04 09:15:00+05:30,44700.0,44700.0,44417.0,44428.55,31875,194340
,2023-10-04 10:15:00+05:30,44428.55,44521.2,44410.0,44466.2,27795,196590
,2023-10-04 11:15:00+05:30,44466.2,44478.8,44353.5,44389.0,9735,200655
,2023-10-04 12:15:00+05:30,44389.0,44437.85,44370.0,44435.0,7800,202830
,2023-10-04 13:15:00+05:30,44439.0,44480.0,44396.3,44452.7,7755,204480
,2023-10-04 14:15:00+05:30,44452.7,44492.65,44425.0,44472.35,11010,205080
,2023-10-04 15:15:00+05:30,44472.35,44541.95,44461.6,44523.3,39225,208575
,2023-10-05 09:15:00+05:30,44600.0,44750.0,44599.95,44696.9,29175,195660
,2023-10-05 10:15:00+05:30,44696.9,44779.95,44606.3,44770.8,12570,195990
,2023-10-05 11:15:00+05:30,44770.8,44825.95,44740.15,44747.95,8970,194805
,2023-10-05 12:15:00+05:30,44747.95,44765.55,44680.0,44695.0,4740,195540
,2023-10-05 13:15:00+05:30,44695.0,44777.95,44693.05,44715.3,2970,195675
,2023-10-05 14:15:00+05:30,44715.3,44737.3,44655.05,44680.05,8070,197610
,2023-10-05 15:15:00+05:30,44680.05,44725.0,44672.05,44675.05,5415,197850
,2023-10-06 09:15:00+05:30,44782.35,44789.95,44699.0,44753.8,11400,193755
,2023-10-06 10:15:00+05:30,44753.8,44935.5,44751.7,44877.75,18330,188235
,2023-10-06 11:15:00+05:30,44877.75,44878.95,44695.0,44730.0,9690,189030
,2023-10-06 12:15:00+05:30,44730.0,44804.4,44702.0,44797.25,4140,188205
,2023-10-06 13:15:00+05:30,44797.25,44910.0,44779.8,44863.25,5835,188355
,2023-10-06 14:15:00+05:30,44863.25,44874.0,44778.7,44792.0,4305,188130
,2023-10-06 15:15:00+05:30,44792.0,44811.15,44772.0,44782.0,3990,188310
,2023-10-09 09:15:00+05:30,44499.85,44600.35,44231.05,44421.5,48015,190815
,2023-10-09 10:15:00+05:30,44421.5,44459.35,44356.05,44391.0,6780,191565
,2023-10-09 11:15:00+05:30,44391.0,44420.0,44374.15,44404.0,5040,191790
,2023-10-09 12:15:00+05:30,44404.0,44404.0,44255.0,44293.0,9780,192180
,2023-10-09 13:15:00+05:30,44293.0,44346.95,44280.0,44326.35,16605,191415
,2023-10-09 14:15:00+05:30,44326.35,44400.0,44290.4,44320.15,9240,192195
,2023-10-09 15:15:00+05:30,44320.15,44320.15,44260.1,44260.1,5415,192030
,2023-10-10 09:15:00+05:30,44400.0,44557.35,44400.0,44515.85,21870,189270
,2023-10-10 10:15:00+05:30,44515.85,44547.85,44509.2,44510.7,4875,189540
,2023-10-10 11:15:00+05:30,44510.7,44669.9,44497.1,44665.2,12195,190500
,2023-10-10 12:15:00+05:30,44672.0,44817.95,44642.4,44780.0,34680,193065
,2023-10-10 13:15:00+05:30,44780.0,44890.0,44770.9,44845.0,18765,195480
,2023-10-10 14:15:00+05:30,44845.0,44887.05,44774.8,44796.0,12120,198195
,2023-10-10 15:15:00+05:30,44796.0,44830.0,44796.0,44812.0,10110,196650
,2023-10-11 09:15:00+05:30,44925.0,45070.45,44905.0,44911.45,35340,196680
,2023-10-11 10:15:00+05:30,44911.45,44975.0,44850.0,44876.15,13635,198420
,2023-10-11 11:15:00+05:30,44876.15,44937.7,44842.3,44920.45,5550,199350
,2023-10-11 12:15:00+05:30,44920.45,44952.0,44852.15,44941.25,3255,199740
,2023-10-11 13:15:00+05:30,44941.25,44941.95,44839.9,44882.95,5790,199425
,2023-10-11 14:15:00+05:30,44882.95,44962.0,44866.7,44948.95,8610,199230
,2023-10-11 15:15:00+05:30,44948.95,44980.0,44940.05,44966.1,8100,199095
,2023-10-12 09:15:00+05:30,44999.95,45087.55,44987.0,45033.95,20265,201375
,2023-10-12 10:15:00+05:30,45033.95,45060.0,44970.0,45036.45,6060,202095
,2023-10-12 11:15:00+05:30,45036.45,45055.0,45000.0,45038.0,2895,201495
,2023-10-12 12:15:00+05:30,45038.0,45040.0,44970.0,44982.35,3285,201570
,2023-10-12 13:15:00+05:30,44982.35,45027.65,44970.0,45000.4,2985,202230
,2023-10-12 14:15:00+05:30,45000.4,45047.05,45000.0,45015.0,3675,202635
,2023-10-12 15:15:00+05:30,45015.0,45033.55,45014.1,45030.15,4350,202665
,2023-10-13 09:15:00+05:30,44800.0,44800.05,44601.05,44683.0,34410,204555
,2023-10-13 10:15:00+05:30,44683.0,44705.05,44650.85,44692.4,7815,205935
,2023-10-13 11:15:00+05:30,44692.4,44732.0,44680.0,44690.05,3015,206895
,2023-10-13 12:15:00+05:30,44690.05,44780.0,44690.0,44764.0,5355,207225
,2023-10-13 13:15:00+05:30,44764.0,44953.1,44738.55,44953.1,11625,206310
,2023-10-13 14:15:00+05:30,44953.1,44995.0,44696.0,44716.7,20100,206025
,2023-10-13 15:15:00+05:30,44716.7,44734.95,44652.0,44657.0,9615,208350
,2023-10-16 09:15:00+05:30,44661.05,44661.05,44487.0,44608.05,29400,214935
,2023-10-16 10:15:00+05:30,44608.05,44690.95,44590.0,44633.25,9090,215130
,2023-10-16 11:15:00+05:30,44633.25,44745.95,44603.2,44705.25,8895,216810
,2023-10-16 12:15:00+05:30,44705.25,44725.0,44650.9,44655.4,3285,217365
,2023-10-16 13:15:00+05:30,44655.4,44705.0,44610.0,44654.8,10485,222240
,2023-10-16 14:15:00+05:30,44654.8,44699.0,44633.0,44640.0,5280,223080
,2023-10-16 15:15:00+05:30,44640.0,44655.4,44630.0,44654.2,3435,223080
,2023-10-17 09:15:00+05:30,44938.7,44947.0,44818.15,44844.95,28020,219060
,2023-10-17 10:15:00+05:30,44844.95,44897.9,44844.4,44890.0,5745,219600
,2023-10-17 11:15:00+05:30,44890.0,44890.0,44850.7,44871.05,6030,221010
,2023-10-17 12:15:00+05:30,44871.05,44900.0,44859.0,44886.05,3630,221160
,2023-10-17 13:15:00+05:30,44886.05,44911.0,44720.0,44720.0,14040,222195
,2023-10-17 14:15:00+05:30,44720.0,44814.4,44711.0,44755.0,15960,225075
,2023-10-17 15:15:00+05:30,44755.0,44788.4,44752.1,44770.45,5175,224640
,2023-10-18 09:15:00+05:30,44824.05,44824.05,44620.05,44744.1,25560,231060
,2023-10-18 10:15:00+05:30,44744.1,44755.0,44333.65,44385.55,59085,248655
,2023-10-18 11:15:00+05:30,44385.55,44440.15,44308.9,44348.45,71850,291810
,2023-10-18 12:15:00+05:30,44348.4,44420.0,44325.0,44420.0,31470,305580
,2023-10-18 13:15:00+05:30,44420.0,44420.8,44338.85,44390.0,39825,332145
,2023-10-18 14:15:00+05:30,44390.0,44399.85,44307.75,44370.0,80910,391470
,2023-10-18 15:15:00+05:30,44370.0,44370.7,44330.0,44344.95,18000,399885
,2023-10-19 09:15:00+05:30,44047.3,44207.0,43980.0,44137.15,75510,412365
,2023-10-19 10:15:00+05:30,44136.75,44165.45,44070.05,44117.3,38040,431565
,2023-10-19 11:15:00+05:30,44117.3,44372.05,44117.25,44330.0,83580,451785
,2023-10-19 12:15:00+05:30,44330.0,44330.0,44182.0,44231.2,39435,470865
,2023-10-19 13:15:00+05:30,44231.2,44413.55,44135.0,44326.0,38280,487080
,2023-10-19 14:15:00+05:30,44326.0,44336.6,44122.0,44122.0,55965,517350
,2023-10-19 15:15:00+05:30,44122.0,44168.25,44103.65,44159.7,42060,550005
,2023-10-20 09:15:00+05:30,44036.8,44143.65,43917.9,44096.0,73500,556035
,2023-10-20 10:15:00+05:30,44096.0,44100.45,44001.0,44078.5,55170,596370
,2023-10-20 11:15:00+05:30,44078.5,44110.5,43950.45,44040.0,58155,626430
,2023-10-20 12:15:00+05:30,44040.0,44082.9,44025.0,44057.5,30105,647700
,2023-10-20 13:15:00+05:30,44057.5,44219.7,44017.05,44074.05,62790,662970
,2023-10-20 14:15:00+05:30,44074.8,44140.0,43997.95,44040.0,102045,709155
,2023-10-20 15:15:00+05:30,44046.55,44059.85,44038.0,44048.0,39780,731595
,2023-10-23 09:15:00+05:30,44122.0,44132.7,43928.9,43960.5,144765,793245
,2023-10-23 10:15:00+05:30,43960.0,43996.65,43915.0,43958.2,93465,856065
,2023-10-23 11:15:00+05:30,43958.2,44000.0,43870.0,43961.45,99225,916230
,2023-10-23 12:15:00+05:30,43961.45,43985.0,43890.85,43909.5,61140,961275
,2023-10-23 13:15:00+05:30,43901.8,43949.9,43874.1,43907.5,77595,998040
,2023-10-23 14:15:00+05:30,43904.85,43915.25,43301.0,43377.6,372270,1057875
,2023-10-23 15:15:00+05:30,43383.0,43469.0,43383.0,43402.9,87150,1082055
,2023-10-25 09:15:00+05:30,43563.75,43671.95,43458.0,43603.85,269460,1126140
,2023-10-25 10:15:00+05:30,43603.85,43630.75,43467.0,43523.5,164970,1212540
,2023-10-25 11:15:00+05:30,43523.5,43540.7,43375.0,43415.0,152655,1254345
,2023-10-25 12:15:00+05:30,43415.0,43435.85,43100.0,43100.0,220020,1303065
,2023-10-25 13:15:00+05:30,43100.0,43256.0,43060.0,43253.0,190680,1356765
,2023-10-25 14:15:00+05:30,43250.0,43259.0,43074.1,43095.9,181290,1399695
,2023-10-25 15:15:00+05:30,43095.0,43130.4,43045.15,43108.95,121170,1415970
,2023-10-26 09:15:00+05:30,42950.0,43059.0,42646.0,42658.05,534375,1512735
,2023-10-26 10:15:00+05:30,42655.1,42702.75,42525.0,42528.9,365085,1641270
,2023-10-26 11:15:00+05:30,42526.2,42575.95,42422.0,42485.7,416490,1783185
,2023-10-26 12:15:00+05:30,42481.2,42660.0,42477.95,42610.4,317940,1940745
,2023-10-26 13:15:00+05:30,42607.25,42670.85,42535.75,42610.1,435960,2152095
,2023-10-26 14:15:00+05:30,42610.1,42731.3,42512.0,42580.95,765600,2380635
,2023-10-26 15:15:00+05:30,42581.55,42647.95,42575.0,42616.35,212895,2452440
,2023-10-27 09:15:00+05:30,42755.3,43020.0,42730.2,42902.1,648840,2395230
,2023-10-27 10:15:00+05:30,42902.1,43003.95,42860.1,42969.75,173370,2416350
,2023-10-27 11:15:00+05:30,42975.0,43070.0,42940.0,42998.95,222165,2422215
,2023-10-27 12:15:00+05:30,42998.95,43010.0,42882.75,42907.75,155085,2428050
